time,loss,learning_rate,step,accuracy
511.32419300079346,2.2873237,0.001,48,0.16
521.9754824638367,2.2614424,0.001,49,0.15
532.5235035419464,2.2824042,0.001,50,0.17
540.8785111904144,2.2726882,0.001,51,0.19
552.1598834991455,2.2483118,0.001,52,0.19
562.7006001472473,2.279324,0.001,53,0.19
573.5176277160645,2.2346153,0.001,54,0.08
582.4802560806274,2.2755003,0.001,55,0.13
590.6629800796509,2.2288163,0.001,56,0.12
600.2839951515198,2.2393026,0.001,57,0.16
610.705867767334,2.288031,0.001,58,0.11
618.801450252533,2.272457,0.001,59,0.16
629.5394394397736,2.2508585,0.001,60,0.16
641.6577377319336,2.258782,0.001,61,0.12
652.6018161773682,2.2123933,0.001,62,0.17
661.1612930297852,2.270761,0.001,63,0.21
672.3613805770874,2.2432897,0.001,64,0.16
683.0140373706818,2.244005,0.001,65,0.26
691.2726593017578,2.2941685,0.001,66,0.13
699.3846008777618,2.2735422,0.001,67,0.26
710.1966741085052,2.2737546,0.001,68,0.19
721.5184464454651,2.3098183,0.001,69,0.11
729.381844997406,2.260415,0.001,70,0.13
741.1490254402161,2.2640758,0.001,71,0.17
750.1510474681854,2.314951,0.001,72,0.18
761.1709721088409,2.2872093,0.001,73,0.16
772.8218972682953,2.2930577,0.001,74,0.2
780.382926940918,2.2209651,0.001,75,0.29
791.7157082557678,2.2402086,0.001,76,0.27
799.7812809944153,2.250089,0.001,77,0.15
811.2427189350128,2.324723,0.001,78,0.15
819.8231434822083,2.373291,0.001,79,0.15
828.5274708271027,2.2864938,0.001,80,0.08
839.8837783336639,2.2678764,0.001,81,0.16
848.4295480251312,2.2520387,0.001,82,0.19
878.7542190551758,2.2711782,0.001,83,0.23
891.1815898418427,2.2630048,0.001,84,0.17
899.0524792671204,2.2398071,0.001,85,0.12
910.1644911766052,2.3880148,0.001,86,0.14
921.233341217041,2.23952,0.001,87,0.25
932.0548751354218,2.2266614,0.001,88,0.13
942.8194167613983,2.3249087,0.001,89,0.16
950.9523160457611,2.3065114,0.001,90,0.11
957.6433229446411,2.2780194,0.001,91,0.1
968.5430624485016,2.2701142,0.001,92,0.14
979.5477693080902,2.2455804,0.001,93,0.11
990.3702356815338,2.2715516,0.001,94,0.17
997.84193110466,2.35074,0.001,95,0.15
1008.594603061676,2.2541087,0.001,96,0.16
1016.7338378429413,2.2700002,0.001,97,0.1
1027.8152441978455,2.2986047,0.001,98,0.09
1039.7188425064087,2.301734,0.001,99,0.23
1050.1283807754517,2.2025611,0.001,100,0.14
1058.3660032749176,2.3343084,0.001,101,0.19
1069.902349948883,2.3224766,0.001,102,0.12
1080.5256655216217,2.310679,0.001,103,0.1
1091.2891149520874,2.2918177,0.001,104,0.12
1101.750734090805,2.2823021,0.001,105,0.12
1112.6443071365356,2.262563,0.001,106,0.15
1123.44859457016,2.2801104,0.001,107,0.14
1131.555537223816,2.249002,0.001,108,0.12
1142.4847400188446,2.2812996,0.001,109,0.13
1153.125977754593,2.477684,0.001,110,0.08
1164.409502506256,2.2925603,0.001,111,0.15
1172.4807436466217,2.2784984,0.001,112,0.15
1183.2116148471832,2.259999,0.001,113,0.16
1192.0447571277618,2.2563624,0.001,114,0.15
1202.5466973781586,2.2778726,0.001,115,0.11
1213.2386112213135,2.2367578,0.001,116,0.26
1224.7393894195557,2.2336073,0.001,117,0.16
1233.0109720230103,2.31323,0.001,118,0.14
1243.9010653495789,2.3125734,0.001,119,0.15
1251.6624341011047,2.291089,0.001,120,0.13
