time,step,loss,learning_rate,accuracy
4.354794263839722,1,2.982219,0.001,0.125
4.576869964599609,2,3.3652892,0.001,0.09375
4.801313400268555,3,3.0074592,0.001,0.1171875
5.019170045852661,4,2.9992714,0.001,0.125
5.243440628051758,5,3.0641181,0.001,0.0625
5.454461097717285,6,2.9961176,0.001,0.078125
5.674026966094971,7,2.8879776,0.001,0.1328125
5.8912506103515625,8,3.1404018,0.001,0.078125
6.104282855987549,9,3.1298766,0.001,0.1015625
6.31068229675293,10,2.9946132,0.001,0.125
6.530062913894653,11,3.0267065,0.001,0.09375
6.740709066390991,12,2.9936895,0.001,0.1015625
6.961962699890137,13,2.9033937,0.001,0.1171875
7.189877033233643,14,2.9216852,0.001,0.0703125
7.40558385848999,15,2.928635,0.001,0.0625
7.617476224899292,16,2.8239512,0.001,0.109375
7.833667516708374,17,2.7662468,0.001,0.1171875
8.042135238647461,18,2.851244,0.001,0.1328125
8.259482860565186,19,2.780306,0.001,0.09375
8.465080261230469,20,2.62047,0.001,0.109375
8.675662279129028,21,2.7448556,0.001,0.09375
8.892200946807861,22,2.7681801,0.001,0.1015625
9.11570429801941,23,2.7123158,0.001,0.1328125
9.322103500366211,24,2.7038636,0.001,0.0703125
9.540616512298584,25,2.8145046,0.001,0.109375
9.751960277557373,26,2.831221,0.001,0.0859375
9.963990211486816,27,2.839628,0.001,0.109375
10.168562412261963,28,2.7275686,0.001,0.1171875
10.387288093566895,29,2.778862,0.001,0.109375
10.601617813110352,30,2.7347388,0.001,0.109375
10.819886684417725,31,2.6931038,0.001,0.140625
11.026215553283691,32,2.6603222,0.001,0.0703125
11.239758253097534,33,2.691376,0.001,0.1484375
11.445471048355103,34,2.547873,0.001,0.046875
11.654676914215088,35,2.6040235,0.001,0.1171875
11.866576910018921,36,2.6604896,0.001,0.1484375
12.074643611907959,37,2.532999,0.001,0.1484375
12.287574291229248,38,2.5766273,0.001,0.1484375
12.496347188949585,39,2.642673,0.001,0.1328125
12.709899187088013,40,2.4958286,0.001,0.1328125
12.924245357513428,41,2.6335282,0.001,0.1484375
13.134434700012207,42,2.585116,0.001,0.1796875
13.342087984085083,43,2.4086647,0.001,0.140625
13.550350666046143,44,2.634377,0.001,0.0625
13.75828766822815,45,2.5847611,0.001,0.1171875
13.976090669631958,46,2.6219385,0.001,0.140625
14.194544553756714,47,2.4928517,0.001,0.1328125
14.421927452087402,48,2.6025162,0.001,0.15625
14.630437135696411,49,2.4158573,0.001,0.125
14.836948156356812,50,2.5724964,0.001,0.1015625
15.041807889938354,51,2.6032763,0.001,0.1171875
15.26284646987915,52,2.570702,0.001,0.125
15.47596287727356,53,2.6179469,0.001,0.09375
15.688395977020264,54,2.4359097,0.001,0.125
15.908957481384277,55,2.4987826,0.001,0.1953125
16.115838766098022,56,2.4410076,0.001,0.15625
16.323848009109497,57,2.4685028,0.001,0.140625
16.53227162361145,58,2.3641438,0.001,0.1171875
16.75170111656189,59,2.5805082,0.001,0.078125
16.963317394256592,60,2.535355,0.001,0.1796875
17.175270557403564,61,2.4815664,0.001,0.1328125
17.390866994857788,62,2.5352523,0.001,0.140625
17.61159658432007,63,2.554309,0.001,0.171875
17.818439722061157,64,2.374757,0.001,0.078125
18.039678812026978,65,2.4006238,0.001,0.15625
18.247774362564087,66,2.356327,0.001,0.1640625
18.455127239227295,67,2.4151568,0.001,0.109375
18.666630506515503,68,2.468831,0.001,0.15625
18.881455659866333,69,2.4024587,0.001,0.1484375
