time,step,learning_rate,loss,accuracy
9.590338468551636,1,0.001,4.961186,0.08
21.087029457092285,2,0.001,3.192269,0.11
32.263906478881836,3,0.001,3.4222765,0.12
42.96371269226074,4,0.001,2.3332114,0.14
51.08189558982849,5,0.001,2.4813344,0.14
59.27990245819092,6,0.001,2.6817462,0.14
70.3612265586853,7,0.001,2.9569073,0.14
78.6840033531189,8,0.001,3.0405684,0.14
86.69229888916016,9,0.001,2.4771938,0.15
97.35659575462341,10,0.001,2.5581973,0.14
108.88661551475525,11,0.001,2.6037831,0.12
118.0068130493164,12,0.001,2.5594532,0.13
128.9688858985901,13,0.001,2.337891,0.13
136.9025378227234,14,0.001,2.5971608,0.15
149.1948812007904,15,0.001,2.284192,0.16
157.32387447357178,16,0.001,2.3404057,0.15
169.16359496116638,17,0.001,2.3175778,0.14
179.7423107624054,18,0.001,2.363432,0.14
190.02295804023743,19,0.001,2.4007812,0.15
201.6631579399109,20,0.001,2.2618952,0.15
209.78244924545288,21,0.001,2.2113829,0.15
221.25727605819702,22,0.001,2.4659185,0.16
232.67468786239624,23,0.001,2.35486,0.16
244.51898980140686,24,0.001,2.4300585,0.16
255.3995532989502,25,0.001,2.3156064,0.17
266.1232681274414,26,0.001,2.4210923,0.18
277.38295555114746,27,0.001,2.3548398,0.12
285.6220006942749,28,0.001,2.3220062,0.15
297.83196473121643,29,0.001,2.471016,0.12
306.0588450431824,30,0.001,2.2965248,0.12
317.40897393226624,31,0.001,2.462042,0.16
328.6332070827484,32,0.001,2.2531285,0.14
337.5340049266815,33,0.001,2.3063073,0.13
346.0121569633484,34,0.001,2.3885868,0.14
357.1093327999115,35,0.001,2.3248725,0.1
368.82450771331787,36,0.001,2.2413883,0.13
380.5158715248108,37,0.001,2.27913,0.13
392.1726818084717,38,0.001,2.2740564,0.14
399.3914313316345,39,0.001,2.2811935,0.21
410.8391864299774,40,0.001,2.3080251,0.17
419.97313690185547,41,0.001,2.2074673,0.2
431.9322874546051,42,0.001,2.3503506,0.14
443.4686713218689,43,0.001,2.1734035,0.13
454.6604747772217,44,0.001,2.280626,0.15
463.8141622543335,45,0.001,2.3594668,0.13
471.194739818573,46,0.001,2.2734022,0.16
479.3908016681671,47,0.001,2.1915824,0.15
490.80004620552063,48,0.001,2.3007593,0.18
502.2780010700226,49,0.001,2.2796354,0.18
514.2062978744507,50,0.001,2.368182,0.18
522.5060663223267,51,0.00096000003,2.3370423,0.15
531.4272212982178,52,0.00096000003,2.2524452,0.17
542.5246784687042,53,0.00096000003,2.2788663,0.17
555.2628004550934,54,0.00096000003,2.2264528,0.2
565.5852267742157,55,0.00096000003,2.158042,0.18
576.8066940307617,56,0.00096000003,2.3093948,0.16
587.776398897171,57,0.00096000003,2.2370214,0.2
595.1584255695343,58,0.00096000003,2.197208,0.17
605.8165833950043,59,0.00096000003,2.319463,0.13
617.9015071392059,60,0.00096000003,2.2303193,0.16
629.0655298233032,61,0.00096000003,2.278439,0.15
641.7996137142181,62,0.00096000003,2.2716208,0.21
652.6088578701019,63,0.00096000003,2.2734394,0.13
664.5910501480103,64,0.00096000003,2.3209896,0.2
674.1051480770111,65,0.00096000003,2.2163785,0.15
681.7599115371704,66,0.00096000003,2.268909,0.19
692.5887272357941,67,0.00096000003,2.2968876,0.2
703.7517063617706,68,0.00096000003,2.1738403,0.23
715.3106479644775,69,0.00096000003,2.31603,0.22
728.2192661762238,70,0.00096000003,2.1886408,0.17
739.4238083362579,71,0.00096000003,2.319351,0.18
750.5701613426208,72,0.00096000003,2.3005748,0.1
762.0190393924713,73,0.00096000003,2.217558,0.11
769.4153170585632,74,0.00096000003,2.4337904,0.14
776.9237952232361,75,0.00096000003,2.3569114,0.15
787.8543965816498,76,0.00096000003,2.2680395,0.1
800.3637232780457,77,0.00096000003,2.2820125,0.22
808.8701865673065,78,0.00096000003,2.3386729,0.16
818.1802401542664,79,0.00096000003,2.2710214,0.1
830.5264570713043,80,0.00096000003,2.247978,0.11
841.4095442295074,81,0.00096000003,2.180687,0.16
853.601842880249,82,0.00096000003,2.311549,0.07
864.7303912639618,83,0.00096000003,2.3228736,0.06
875.7528381347656,84,0.00096000003,2.3226776,0.14
887.2928557395935,85,0.00096000003,2.3415208,0.17
895.7548236846924,86,0.00096000003,2.2322514,0.24
906.5775234699249,87,0.00096000003,2.2708197,0.19
917.9044876098633,88,0.00096000003,2.3163533,0.21
925.2609739303589,89,0.00096000003,2.220449,0.17
936.2407066822052,90,0.00096000003,2.2069135,0.14
948.5672957897186,91,0.00096000003,2.3967054,0.12
959.7116742134094,92,0.00096000003,2.2502024,0.16
971.877965927124,93,0.00096000003,2.3041868,0.14
983.0737817287445,94,0.00096000003,2.2295504,0.09
995.4103467464447,95,0.00096000003,2.444667,0.11
1008.4073162078857,96,0.00096000003,2.2671862,0.17
1019.9066343307495,97,0.00096000003,2.3051608,0.18
1031.1742696762085,98,0.00096000003,2.3177314,0.2
1042.0902500152588,99,0.00096000003,2.3020747,0.17
1054.2714276313782,100,0.00096000003,2.2148051,0.2
1066.306327342987,101,0.00092160003,2.2636042,0.12
1077.390863418579,102,0.00092160003,2.2466617,0.22
1085.6939599514008,103,0.00092160003,2.2928925,0.09
1096.3881211280823,104,0.00092160003,2.2818632,0.2
1106.4181592464447,105,0.00092160003,2.295978,0.1
1117.2597978115082,106,0.00092160003,2.2939782,0.14
1125.4024965763092,107,0.00092160003,2.2673578,0.16
1134.4822900295258,108,0.00092160003,2.3182945,0.09
1142.7223000526428,109,0.00092160003,2.251761,0.17
1151.29931306839,110,0.00092160003,2.2949762,0.18
1161.8091893196106,111,0.00092160003,2.2665255,0.14
1172.5758724212646,112,0.00092160003,2.2961717,0.1
1179.9268741607666,113,0.00092160003,2.2825925,0.2
1188.1539254188538,114,0.00092160003,2.2000299,0.14
1196.0093684196472,115,0.00092160003,2.210365,0.13
1207.7896864414215,116,0.00092160003,2.2324548,0.07
1218.6786415576935,117,0.00092160003,2.2670321,0.14
1227.2442388534546,118,0.00092160003,2.2386525,0.16
1237.1749322414398,119,0.00092160003,2.3331792,0.18
1248.2647504806519,120,0.00092160003,2.2100844,0.21
1256.2348294258118,121,0.00092160003,2.299254,0.17
1265.418603181839,122,0.00092160003,2.1971211,0.22
1277.5429694652557,123,0.00092160003,1.9953,0.14
1288.3800737857819,124,0.00092160003,2.8183985,0.16
1298.9273550510406,125,0.00092160003,2.3845844,0.1
1310.0549583435059,126,0.00092160003,2.2704406,0.08
1322.2290170192719,127,0.00092160003,2.2713218,0.13
1333.1359145641327,128,0.00092160003,2.2610402,0.12
1342.3219335079193,129,0.00092160003,2.2838168,0.17
1354.3680701255798,130,0.00092160003,2.275917,0.17
1366.6462988853455,131,0.00092160003,2.291363,0.15
1373.9826860427856,132,0.00092160003,2.2325034,0.13
1385.2347934246063,133,0.00092160003,2.3588355,0.18
1397.7732427120209,134,0.00092160003,2.3040097,0.12
1409.2391531467438,135,0.00092160003,2.340347,0.15
1418.2573318481445,136,0.00092160003,2.2664084,0.26
1429.1961686611176,137,0.00092160003,2.2800636,0.2
