time,step,rank,num_batches,compute_time_worker,compute_time_master
6.030676364898682,1,2,16,6.359121561050415,6.030673980712891
6.112398147583008,1,3,16,6.413292407989502,6.112395763397217
6.20023250579834,1,4,16,6.44788932800293,6.200230121612549
6.275677442550659,1,6,16,6.439351797103882,6.275675058364868
6.350576639175415,1,10,16,6.623798847198486,6.350574254989624
6.436959981918335,1,1,16,6.502167463302612,6.436957597732544
6.771401405334473,1,5,16,7.105745315551758,6.771399021148682
6.987589359283447,1,9,16,7.292380094528198,6.987586975097656
7.851988315582275,1,8,16,8.189432382583618,7.851985931396484
8.52835726737976,1,7,16,8.872254848480225,8.52835488319397
14.469871282577515,2,1,16,5.587574481964111,5.069141149520874
14.566386222839355,2,2,16,5.6577467918396,5.165656089782715
14.641879796981812,2,3,16,5.659463405609131,5.241149663925171
14.725537300109863,2,4,16,5.6918113231658936,5.324807167053223
14.800673961639404,2,6,16,5.701350212097168,5.399943828582764
14.88905119895935,2,7,16,5.681564569473267,5.48832106590271
14.965141773223877,2,10,16,5.658378839492798,5.564411640167236
15.562073945999146,2,9,16,6.597309827804565,6.161343812942505
17.11615562438965,2,8,16,8.190445899963379,7.715425491333008
20.110318183898926,2,5,16,11.226028442382812,10.709588050842285
26.119025707244873,3,2,16,5.648758411407471,5.221579551696777
26.204853534698486,3,1,16,5.710835218429565,5.307407379150391
26.292033195495605,3,4,16,5.660925388336182,5.39458703994751
26.743719339370728,3,8,16,6.265663385391235,5.846273183822632
26.825536012649536,3,5,16,6.356818914413452,5.92808985710144
27.04862642288208,3,9,16,6.548518419265747,6.151180267333984
27.607906818389893,3,3,16,7.145906686782837,6.710460662841797
28.179821968078613,3,7,16,7.702885627746582,7.282375812530518
31.206913948059082,3,10,16,10.747789144515991,10.309467792510986
31.293078422546387,3,6,16,10.782839298248291,10.395632266998291
37.274166107177734,4,8,16,5.628685712814331,5.200085163116455
37.35051989555359,4,3,16,5.671655893325806,5.27643895149231
37.432005643844604,4,4,16,5.668882846832275,5.357924699783325
38.321619510650635,4,5,16,6.690773248672485,6.2475385665893555
38.528544187545776,4,9,16,6.856972694396973,6.454463243484497
39.11577868461609,4,6,16,7.480040550231934,7.04169774055481
39.26194620132446,4,1,16,7.628041744232178,7.187865257263184
39.3421106338501,4,10,16,7.623800039291382,7.268029689788818
39.496769189834595,4,7,16,7.865851163864136,7.422688245773315
42.00613832473755,4,2,16,10.36778736114502,9.93205738067627
47.96025514602661,5,10,16,5.6251161098480225,5.186201810836792
48.03384590148926,5,6,16,5.693425416946411,5.2597925662994385
48.11782717704773,5,1,16,5.762355804443359,5.34377384185791
48.19242477416992,5,3,16,5.8243396282196045,5.4183714389801025
48.31788086891174,5,4,16,5.781630754470825,5.543827533721924
48.469411849975586,5,2,16,6.122791051864624,5.695358514785767
48.651328325271606,5,5,16,6.3040688037872314,5.877274990081787
49.26173257827759,5,9,16,6.879360675811768,6.4876792430877686
49.97714114189148,5,8,16,7.624016523361206,7.20308780670166
50.111783027648926,5,7,16,7.766801118850708,7.3377296924591064
56.070329904556274,6,8,16,5.598273515701294,5.1782472133636475
56.14017081260681,6,10,16,5.596715211868286,5.248088121414185
56.23857307434082,6,2,16,5.625119924545288,5.346490383148193
56.31024527549744,6,3,16,5.676130533218384,5.41816258430481
56.38657093048096,6,6,16,5.684439182281494,5.49448823928833
56.56780552864075,6,1,16,6.1111900806427,5.67572283744812
56.78574585914612,6,5,16,6.325822353363037,5.893663167953491
57.06651759147644,6,9,16,6.577735424041748,6.1744349002838135
57.96672344207764,6,7,16,7.499329090118408,7.07464075088501
58.314653158187866,6,4,16,7.856725454330444,7.422570466995239
64.24947309494019,7,10,16,5.59628438949585,5.159393787384033
64.33320593833923,7,7,16,5.633928060531616,5.243126630783081
64.48993253707886,7,1,16,5.617456674575806,5.399853229522705
64.5623619556427,7,3,16,5.721131801605225,5.472282648086548
64.63580203056335,7,6,16,5.663335800170898,5.545722723007202
64.9609887599945,7,5,16,6.296822786331177,5.8709094524383545
65.05764555931091,7,8,16,6.3284080028533936,5.967566251754761
66.23031735420227,7,2,16,7.569493293762207,7.140238046646118
67.27441811561584,7,9,16,8.554090738296509,8.184338808059692
69.39623475074768,7,4,16,10.734235525131226,10.306155443191528
75.34045171737671,8,1,16,5.60644268989563,5.169585466384888
75.42355847358704,8,3,16,5.645367860794067,5.252692222595215
75.51215410232544,8,7,16,5.6085357666015625,5.341287851333618
75.6121473312378,8,8,16,5.7395617961883545,5.441281080245972
75.68750524520874,8,10,16,5.760679006576538,5.516638994216919
75.76323223114014,8,6,16,5.955464124679565,5.592365980148315
76.11174201965332,8,5,16,6.375340223312378,5.940875768661499
76.23613333702087,8,4,16,6.483583927154541,6.065267086029053
76.37028169631958,8,9,16,6.599700927734375,6.199415445327759
77.72269773483276,8,2,16,7.972293853759766,7.551831483840942
83.67579174041748,9,1,16,5.613667964935303,5.18192982673645
83.77583336830139,9,8,16,5.6181089878082275,5.281971454620361
83.87662768363953,9,4,16,5.711586952209473,5.382765769958496
83.9540011882782,9,6,16,5.660636901855469,5.460139274597168
84.02736735343933,9,3,16,5.859776020050049,5.533505439758301
84.12880659103394,9,2,16,5.975011348724365,5.634944677352905
84.20064449310303,9,10,16,6.111093521118164,5.706782579421997
84.65286469459534,9,5,16,6.5672607421875,6.159002780914307
84.77256751060486,9,9,16,6.60714864730835,6.278705596923828
85.72239327430725,9,7,16,7.66045355796814,7.228531360626221
91.68000411987305,10,10,16,5.612877607345581,5.177292585372925
