time,step,loss,learning_rate,accuracy
3.2607309818267822,0,3.1436863,0.001,0.0625
3.3389980792999268,1,3.2025566,0.001,0.078125
3.414870023727417,2,3.049035,0.001,0.0859375
3.488912343978882,3,3.0074072,0.001,0.0625
3.5659940242767334,4,2.9020712,0.001,0.0625
3.6490859985351562,5,3.0090554,0.001,0.1015625
3.724825143814087,6,3.1257641,0.001,0.1015625
3.7991011142730713,7,2.90766,0.001,0.078125
3.8737075328826904,8,2.9339938,0.001,0.0703125
3.948657989501953,9,2.9557078,0.001,0.125
4.024224281311035,10,2.9296641,0.001,0.0859375
4.0993170738220215,11,2.881142,0.001,0.1015625
4.173363924026489,12,2.9653084,0.001,0.1015625
4.250245571136475,13,2.8806696,0.001,0.171875
4.325656175613403,14,2.9408514,0.001,0.1484375
4.401350975036621,15,2.9450855,0.001,0.1171875
4.475723743438721,16,2.9525309,0.001,0.140625
4.551194667816162,17,2.876212,0.001,0.1015625
4.626467704772949,18,2.7534525,0.001,0.0625
4.70184850692749,19,2.8284748,0.001,0.09375
4.775715589523315,20,2.614162,0.001,0.1015625
4.852031707763672,21,2.8001015,0.001,0.1015625
4.927142858505249,22,2.5946732,0.001,0.109375
5.0019850730896,23,2.953787,0.001,0.109375
5.076541185379028,24,2.6015065,0.001,0.1171875
5.1522088050842285,25,2.684456,0.001,0.1328125
5.228008508682251,26,2.6172392,0.001,0.1171875
5.302417993545532,27,2.6085546,0.001,0.09375
5.376013994216919,28,2.7993965,0.001,0.140625
5.450869798660278,29,2.5905576,0.001,0.09375
5.52658486366272,30,2.7338963,0.001,0.140625
5.601537704467773,31,2.6747377,0.001,0.109375
5.677270412445068,32,2.599402,0.001,0.171875
5.752587556838989,33,2.7602901,0.001,0.0859375
5.827513217926025,34,2.7624192,0.001,0.1171875
5.900949478149414,35,2.548265,0.001,0.0703125
5.976698398590088,36,2.6375368,0.001,0.1171875
6.052675485610962,37,2.6192145,0.001,0.1640625
6.127389907836914,38,2.6634376,0.001,0.1328125
6.203894853591919,39,2.6323059,0.001,0.1328125
6.279515504837036,40,2.5780005,0.001,0.125
6.354366064071655,41,2.5277767,0.001,0.1015625
6.428413391113281,42,2.3773463,0.001,0.171875
6.504989862442017,43,2.5089886,0.001,0.125
6.581010341644287,44,2.724535,0.001,0.1328125
6.65591835975647,45,2.6518817,0.001,0.203125
6.730084657669067,46,2.555977,0.001,0.140625
6.804872035980225,47,2.5419533,0.001,0.171875
6.879536390304565,48,2.508745,0.001,0.140625
6.954077959060669,49,2.5048401,0.001,0.109375
7.028603553771973,50,2.5103712,0.001,0.1171875
7.104556083679199,51,2.5694442,0.001,0.1484375
7.179757595062256,52,2.381333,0.001,0.09375
7.253750324249268,53,2.2711968,0.001,0.2109375
7.32952880859375,54,2.4387538,0.001,0.1640625
7.4052252769470215,55,2.3831058,0.001,0.109375
7.480268478393555,56,2.4111388,0.001,0.2109375
7.554228782653809,57,2.532171,0.001,0.109375
7.630248546600342,58,2.5644054,0.001,0.203125
7.70641303062439,59,2.3924851,0.001,0.1875
7.782362222671509,60,2.5802953,0.001,0.09375
7.856847763061523,61,2.419713,0.001,0.109375
7.930111885070801,62,2.685143,0.001,0.171875
8.005303382873535,63,2.456837,0.001,0.1875
8.080395698547363,64,2.538057,0.001,0.1171875
8.155254125595093,65,2.4743252,0.001,0.109375
8.230860233306885,66,2.514067,0.001,0.125
8.306370258331299,67,2.416464,0.001,0.1171875
8.3810396194458,68,2.4168944,0.001,0.0859375
8.455499649047852,69,2.2387624,0.001,0.0546875
8.53098177909851,70,2.4887395,0.001,0.140625
8.606675386428833,71,2.4613044,0.001,0.1171875
8.681581735610962,72,2.3902853,0.001,0.0859375
8.754984140396118,73,2.454199,0.001,0.09375
8.830871820449829,74,2.3848093,0.001,0.1328125
8.906723022460938,75,2.3028028,0.001,0.1171875
8.981165409088135,76,2.4538097,0.001,0.0703125
9.055175304412842,77,2.4791594,0.001,0.0703125
9.130899429321289,78,2.3093963,0.001,0.1484375
9.20628046989441,79,2.341539,0.001,0.109375
9.280877590179443,80,2.419945,0.001,0.0703125
9.355959415435791,81,2.4655862,0.001,0.109375
9.431280136108398,82,2.390958,0.001,0.0625
9.506431818008423,83,2.3047328,0.001,0.1171875
9.580848455429077,84,2.279496,0.001,0.078125
9.655920267105103,85,2.4430134,0.001,0.0859375
9.732155561447144,86,2.299974,0.001,0.09375
9.80694580078125,87,2.2903285,0.001,0.1171875
9.88165545463562,88,2.2649944,0.001,0.109375
9.956891775131226,89,2.4265976,0.001,0.1015625
10.032211780548096,90,2.1445448,0.001,0.109375
10.106230974197388,91,2.4612186,0.001,0.078125
10.1814603805542,92,2.211639,0.001,0.0859375
10.25727391242981,93,2.2030537,0.001,0.09375
10.33242917060852,94,2.3535447,0.001,0.1015625
10.407264232635498,95,2.250129,0.001,0.078125
10.482784032821655,96,2.301213,0.001,0.1015625
10.559154272079468,97,2.4169986,0.001,0.109375
10.635332584381104,98,2.2717006,0.001,0.0859375
10.710588216781616,99,2.3618293,0.001,0.1015625
10.784240245819092,100,2.3116705,0.001,0.09375
10.859454154968262,101,2.2268438,0.001,0.0703125
10.935222864151001,102,2.098352,0.001,0.109375
11.00992465019226,103,2.224002,0.001,0.0703125
11.085795640945435,104,2.2860177,0.001,0.0859375
11.161646604537964,105,2.1395984,0.001,0.0859375
11.235839605331421,106,2.4068036,0.001,0.1328125
11.310252666473389,107,2.3131394,0.001,0.109375
11.38545823097229,108,2.3744154,0.001,0.09375
11.461154699325562,109,2.2312915,0.001,0.1328125
11.535266160964966,110,2.2865136,0.001,0.125
11.610252380371094,111,2.1286886,0.001,0.1328125
11.68642783164978,112,2.3567858,0.001,0.1171875
11.762856245040894,113,2.2603393,0.001,0.1171875
11.837387084960938,114,2.173237,0.001,0.125
11.911698818206787,115,2.2575643,0.001,0.09375
11.98788857460022,116,2.380606,0.001,0.078125
12.063802719116211,117,2.172222,0.001,0.1015625
12.1390962600708,118,2.302284,0.001,0.109375
12.213326454162598,119,2.2852092,0.001,0.0859375
12.288718938827515,120,2.285377,0.001,0.109375
12.363671779632568,121,2.209745,0.001,0.109375
12.438455581665039,122,2.143241,0.001,0.1484375
12.515157222747803,123,2.1909075,0.001,0.1328125
12.590367794036865,124,2.2502644,0.001,0.0625
12.665435791015625,125,2.2636554,0.001,0.1171875
12.740004777908325,126,2.2781904,0.001,0.1640625
12.814188718795776,127,2.171056,0.001,0.078125
12.889681339263916,128,2.1396656,0.001,0.1328125
12.965797901153564,129,2.279488,0.001,0.0859375
13.040420293807983,130,2.1638274,0.001,0.109375
13.114972352981567,131,2.0763886,0.001,0.125
13.190701007843018,132,2.1898186,0.001,0.1796875
