time,step,rank,num_samples,compute_time,compute_time_master
1.7642974853515625e-05,1,1,264,6.409613847732544,1.5497207641601562e-05
2.384185791015625e-05,1,2,66,6.2465269565582275,2.1696090698242188e-05
2.6226043701171875e-05,1,3,286,6.6196558475494385,2.4080276489257812e-05
2.8133392333984375e-05,1,4,286,6.369417428970337,2.5987625122070312e-05
3.218650817871094e-05,1,5,176,6.292081594467163,3.0040740966796875e-05
3.504753112792969e-05,1,6,286,6.5349085330963135,3.2901763916015625e-05
3.647804260253906e-05,1,7,286,6.592893123626709,3.4332275390625e-05
3.814697265625e-05,1,8,286,6.4240264892578125,3.600120544433594e-05
4.00543212890625e-05,1,9,264,6.321478605270386,3.790855407714844e-05
4.220008850097656e-05,1,10,242,6.590188503265381,4.00543212890625e-05
7.2714457511901855,2,1,286,6.346794843673706,1.5020370483398438e-05
7.2714526653289795,2,2,264,6.5821826457977295,2.193450927734375e-05
7.2714550495147705,2,3,264,6.262415885925293,2.4318695068359375e-05
7.271456956863403,2,4,286,6.362182855606079,2.6226043701171875e-05
7.271459102630615,2,5,286,6.6747870445251465,2.8371810913085938e-05
7.271461009979248,2,6,286,6.389965772628784,3.0279159545898438e-05
7.271462917327881,2,7,286,6.349249362945557,3.218650817871094e-05
7.271466255187988,2,8,286,6.314493894577026,3.552436828613281e-05
7.271467924118042,2,9,264,6.206847667694092,3.719329833984375e-05
7.271469831466675,2,10,286,6.613303184509277,3.910064697265625e-05
14.366985321044922,3,1,286,6.535011291503906,1.5020370483398438e-05
14.366991996765137,3,2,286,6.554958343505859,2.1696090698242188e-05
14.366994142532349,3,3,286,6.4595348834991455,2.384185791015625e-05
14.36699628829956,3,4,286,6.6392529010772705,2.5987625122070312e-05
14.366998195648193,3,5,66,6.361418008804321,2.7894973754882812e-05
14.367000341415405,3,6,286,6.356011390686035,3.0040740966796875e-05
14.367004156112671,3,7,286,6.366521596908569,3.3855438232421875e-05
14.367006063461304,3,8,286,6.387149810791016,3.5762786865234375e-05
14.367007732391357,3,9,176,6.263894081115723,3.743171691894531e-05
14.367009401321411,3,10,198,6.262841463088989,3.910064697265625e-05
21.471551179885864,4,1,176,6.515964984893799,1.5020370483398438e-05
21.4715576171875,4,2,286,6.599093437194824,2.1457672119140625e-05
21.471559762954712,4,3,286,6.563999176025391,2.3603439331054688e-05
21.471561670303345,4,4,286,6.334638833999634,2.5510787963867188e-05
21.471563577651978,4,5,286,6.485798597335815,2.7418136596679688e-05
21.47156548500061,4,6,198,6.540679693222046,2.9325485229492188e-05
21.47156810760498,4,7,198,6.291228771209717,3.1948089599609375e-05
21.471569776535034,4,8,242,6.231385707855225,3.361701965332031e-05
21.471571445465088,4,9,286,6.6002278327941895,3.528594970703125e-05
21.4715735912323,4,10,286,6.407538414001465,3.743171691894531e-05
28.439313888549805,5,1,66,6.497464656829834,1.4543533325195312e-05
28.43932032585144,5,2,286,6.334639310836792,2.09808349609375e-05
28.43932271003723,5,3,286,6.4585044384002686,2.3365020751953125e-05
28.439324378967285,5,4,176,6.299588918685913,2.5033950805664062e-05
28.439326286315918,5,5,286,6.458668947219849,2.6941299438476562e-05
28.43932795524597,5,6,242,6.44435453414917,2.86102294921875e-05
28.439329862594604,5,7,286,6.397328853607178,3.0517578125e-05
28.439332723617554,5,8,286,6.343750238418579,3.337860107421875e-05
28.439334869384766,5,9,264,6.448016405105591,3.552436828613281e-05
28.43933629989624,5,10,286,6.436875343322754,3.695487976074219e-05
35.565014362335205,6,1,286,6.363334655761719,1.5020370483398438e-05
35.56502103805542,6,2,286,6.3352601528167725,2.1696090698242188e-05
35.56502342224121,6,3,286,6.440714120864868,2.4080276489257812e-05
35.565025091171265,6,4,264,6.31793212890625,2.574920654296875e-05
35.56502676010132,6,5,176,6.35554313659668,2.7418136596679688e-05
35.56502938270569,6,6,264,6.427712917327881,3.0040740966796875e-05
35.56503129005432,6,7,198,6.473865509033203,3.1948089599609375e-05
35.565033197402954,6,8,66,6.269442319869995,3.3855438232421875e-05
35.56503486633301,6,9,286,6.500719308853149,3.552436828613281e-05
35.56503701210022,6,10,264,6.64335560798645,3.7670135498046875e-05
42.711676597595215,7,1,286,6.34402871131897,1.4781951904296875e-05
42.71168327331543,7,2,286,6.583310842514038,2.1457672119140625e-05
42.71168541908264,7,3,264,6.477450847625732,2.3603439331054688e-05
42.711687326431274,7,4,286,6.3361451625823975,2.5510787963867188e-05
42.71168923377991,7,5,286,6.490365982055664,2.7418136596679688e-05
42.71169114112854,7,6,264,6.658117771148682,2.9325485229492188e-05
42.71169328689575,7,7,286,6.340067148208618,3.147125244140625e-05
42.71169662475586,7,8,286,6.297402381896973,3.4809112548828125e-05
42.71169853210449,7,9,264,6.6341633796691895,3.6716461181640625e-05
42.711700677871704,7,10,286,6.427063703536987,3.886222839355469e-05
49.86915969848633,8,1,286,6.337330341339111,1.5735626220703125e-05
49.86916708946228,8,2,220,6.657586336135864,2.3126602172851562e-05
49.86916971206665,8,3,286,6.625789165496826,2.574920654296875e-05
49.86917161941528,8,4,286,6.347996473312378,2.765655517578125e-05
49.86917328834534,8,5,44,6.520542621612549,2.9325485229492188e-05
49.86917543411255,8,6,286,6.356205940246582,3.147125244140625e-05
49.86917853355408,8,7,198,6.379354476928711,3.457069396972656e-05
49.86918020248413,8,8,220,6.658983469009399,3.62396240234375e-05
49.869182109832764,8,9,198,6.508541107177734,3.814697265625e-05
49.86918377876282,8,10,286,6.399042129516602,3.981590270996094e-05
57.03903126716614,9,1,264,6.530345678329468,1.4781951904296875e-05
