time,step,rank,num_samples,compute_time_worker,compute_time_master
21.49498701095581,4,8,220,6.655438423156738,4.4345855712890625e-05
21.494988918304443,4,9,198,6.476992845535278,4.6253204345703125e-05
21.494990825653076,4,10,286,6.419079780578613,4.8160552978515625e-05
28.91989755630493,5,1,264,6.365545034408569,2.1457672119140625e-05
28.9199059009552,5,2,198,6.57350492477417,2.9802322387695312e-05
28.919908046722412,5,3,176,6.244098901748657,3.1948089599609375e-05
28.919910430908203,5,4,286,6.530519485473633,3.4332275390625e-05
28.919912576675415,5,5,264,6.256056308746338,3.647804260253906e-05
28.919914484024048,5,6,286,6.344865322113037,3.838539123535156e-05
28.9199161529541,5,7,286,6.40380072593689,4.00543212890625e-05
28.919920444488525,5,8,176,6.2672529220581055,4.4345855712890625e-05
28.91992211341858,5,9,264,6.34906792640686,4.601478576660156e-05
28.919923782348633,5,10,264,6.39591646194458,4.76837158203125e-05
35.98498201370239,6,1,198,6.275821208953857,2.1696090698242188e-05
35.98499059677124,6,2,264,6.4038426876068115,3.0279159545898438e-05
35.98499321937561,6,3,286,6.461732387542725,3.2901763916015625e-05
35.98499512672424,6,4,286,6.460911750793457,3.4809112548828125e-05
35.984997034072876,6,5,198,6.268537998199463,3.6716461181640625e-05
35.985000133514404,6,6,286,6.561502695083618,3.981590270996094e-05
35.985002517700195,6,7,286,6.3743672370910645,4.220008850097656e-05
35.98500466346741,6,8,286,6.389790058135986,4.4345855712890625e-05
35.98500657081604,6,9,198,6.526228189468384,4.6253204345703125e-05
35.98500895500183,6,10,286,6.5198822021484375,4.863739013671875e-05
43.12588095664978,7,1,286,6.557023525238037,2.1457672119140625e-05
43.12588906288147,7,2,264,6.299372673034668,2.956390380859375e-05
43.12589144706726,7,3,286,6.459736108779907,3.1948089599609375e-05
43.12589406967163,7,4,198,6.3861939907073975,3.457069396972656e-05
43.125895977020264,7,5,286,6.3259429931640625,3.647804260253906e-05
43.125898122787476,7,6,220,6.609848260879517,3.8623809814453125e-05
43.12590003013611,7,7,286,6.370890378952026,4.0531158447265625e-05
43.125903606414795,7,8,220,6.647525072097778,4.410743713378906e-05
43.12590575218201,7,9,220,6.592724561691284,4.6253204345703125e-05
43.12590789794922,7,10,286,6.32639217376709,4.839897155761719e-05
50.08787655830383,8,1,264,6.35252833366394,2.1457672119140625e-05
50.08788537979126,8,2,220,6.412825345993042,3.0279159545898438e-05
50.08788752555847,8,3,286,6.449459791183472,3.24249267578125e-05
50.08788990974426,8,4,286,6.466461896896362,3.4809112548828125e-05
50.087891817092896,8,5,264,6.319837331771851,3.6716461181640625e-05
50.08789396286011,8,6,286,6.302051782608032,3.886222839355469e-05
50.08789873123169,8,7,286,6.404217720031738,4.363059997558594e-05
50.0879008769989,8,8,286,6.396195411682129,4.57763671875e-05
50.087902545928955,8,9,286,6.426296949386597,4.744529724121094e-05
50.08790445327759,8,10,286,6.332737684249878,4.935264587402344e-05
57.15285587310791,9,1,286,6.573116302490234,2.0742416381835938e-05
57.15286421775818,9,2,286,6.414889335632324,2.9087066650390625e-05
57.15286660194397,9,3,286,6.4609363079071045,3.147125244140625e-05
57.15286874771118,9,4,286,6.448874473571777,3.361701965332031e-05
57.15287137031555,9,5,66,6.576695203781128,3.62396240234375e-05
57.152873516082764,9,6,286,6.30895471572876,3.838539123535156e-05
57.152878522872925,9,7,286,6.41291069984436,4.3392181396484375e-05
57.15288019180298,9,8,286,6.35171103477478,4.506111145019531e-05
57.15288233757019,9,9,286,6.421825885772705,4.7206878662109375e-05
57.152884006500244,9,10,198,6.314574480056763,4.887580871582031e-05
64.24964666366577,10,1,286,6.550417900085449,2.1219253540039062e-05
64.24965476989746,10,2,44,6.286795377731323,2.9325485229492188e-05
64.2496566772461,10,3,242,6.611372470855713,3.123283386230469e-05
64.24965929985046,10,4,286,6.437050819396973,3.3855438232421875e-05
64.24966144561768,10,5,286,6.467339515686035,3.600120544433594e-05
64.24966359138489,10,6,176,6.279454708099365,3.814697265625e-05
64.2496657371521,10,7,286,6.395457744598389,4.029273986816406e-05
64.24966931343079,10,8,286,6.368399620056152,4.38690185546875e-05
64.249671459198,10,9,286,6.523517370223999,4.601478576660156e-05
64.24967360496521,10,10,286,6.3072216510772705,4.8160552978515625e-05
71.41844010353088,11,1,286,6.630641937255859,2.1696090698242188e-05
71.41844868659973,11,2,286,6.4291300773620605,3.0279159545898438e-05
71.41845107078552,11,3,286,6.5449302196502686,3.266334533691406e-05
71.41845369338989,11,4,220,6.659935235977173,3.528594970703125e-05
71.41845560073853,11,5,198,6.256343364715576,3.719329833984375e-05
71.41845893859863,11,6,220,6.550084590911865,4.0531158447265625e-05
71.41846132278442,11,7,286,6.407586574554443,4.291534423828125e-05
71.41846323013306,11,8,286,6.665240526199341,4.482269287109375e-05
71.41846537590027,11,9,286,6.44334602355957,4.696846008300781e-05
71.41846776008606,11,10,286,6.323797941207886,4.935264587402344e-05
78.47573661804199,12,1,154,6.249598026275635,2.574920654296875e-05
78.47574520111084,12,2,286,6.46316123008728,3.4332275390625e-05
78.47574758529663,12,3,264,6.208996534347534,3.6716461181640625e-05
78.47574973106384,12,4,286,6.454774379730225,3.886222839355469e-05
78.47575187683105,12,5,264,6.221617698669434,4.100799560546875e-05
78.47575426101685,12,6,286,6.3162901401519775,4.3392181396484375e-05
78.47575640678406,12,7,286,6.553410291671753,4.553794860839844e-05
78.47576212882996,12,8,198,6.344057321548462,5.125999450683594e-05
78.47576427459717,12,9,286,6.429914951324463,5.340576171875e-05
78.4757661819458,12,10,286,6.291117429733276,5.53131103515625e-05
85.55626153945923,13,1,220,6.616944074630737,2.1219253540039062e-05
85.5562698841095,13,2,286,6.430217981338501,2.956390380859375e-05
85.55627202987671,13,3,264,6.583202838897705,3.170967102050781e-05
85.55627417564392,13,4,286,6.504080295562744,3.3855438232421875e-05
85.55627608299255,13,5,198,6.284229755401611,3.5762786865234375e-05
85.55627918243408,13,6,264,6.3882269859313965,3.886222839355469e-05
85.55628275871277,13,7,286,6.388448715209961,4.2438507080078125e-05
85.5562846660614,13,8,198,6.219390630722046,4.4345855712890625e-05
85.55628705024719,13,9,286,6.434921979904175,4.673004150390625e-05
85.55628895759583,13,10,198,6.46098256111145,4.863739013671875e-05
92.48901391029358,14,1,286,6.33068323135376,2.1696090698242188e-05
92.48902153968811,14,2,286,6.418170690536499,2.9325485229492188e-05
92.4890239238739,14,3,198,6.4043684005737305,3.170967102050781e-05
92.48902606964111,14,4,286,6.4370949268341064,3.3855438232421875e-05
92.4890284538269,14,5,286,6.325485467910767,3.62396240234375e-05
92.48903059959412,14,6,286,6.294956207275391,3.838539123535156e-05
92.48903512954712,14,7,198,6.240720510482788,4.291534423828125e-05
92.48903703689575,14,8,198,6.419391393661499,4.482269287109375e-05
92.48903894424438,14,9,44,6.2576682567596436,4.673004150390625e-05
92.48904085159302,14,10,286,6.345828294754028,4.863739013671875e-05
99.65426206588745,15,1,286,6.546758413314819,2.3365020751953125e-05
99.65427088737488,15,2,88,6.50717568397522,3.218650817871094e-05
99.65427374839783,15,3,286,6.538097143173218,3.504753112792969e-05
99.65427660942078,15,4,286,6.479746341705322,3.790855407714844e-05
99.65427875518799,15,5,264,6.615699768066406,4.00543212890625e-05
99.65428066253662,15,6,264,6.613455295562744,4.1961669921875e-05
99.65428280830383,15,7,286,6.409575462341309,4.410743713378906e-05
99.6542866230011,15,8,286,6.455411434173584,4.792213439941406e-05
99.65428876876831,15,9,198,6.217721939086914,5.0067901611328125e-05
99.65429091453552,15,10,176,6.483850479125977,5.221366882324219e-05
106.69306969642639,16,1,198,6.518496513366699,2.1219253540039062e-05
106.69307827949524,16,2,286,6.387632369995117,2.9802322387695312e-05
106.69308090209961,16,3,286,6.472481727600098,3.24249267578125e-05
106.6930832862854,16,4,198,6.257631778717041,3.4809112548828125e-05
106.69308519363403,16,5,286,6.293895244598389,3.6716461181640625e-05
106.69308876991272,16,6,286,6.323705196380615,4.029273986816406e-05
106.69309067726135,16,7,286,6.409946918487549,4.220008850097656e-05
106.69309329986572,16,8,286,6.537797212600708,4.482269287109375e-05
106.69309544563293,16,9,264,6.245174407958984,4.696846008300781e-05
106.69309782981873,16,10,286,6.3254170417785645,4.935264587402344e-05
113.81498146057129,17,1,198,6.322365760803223,2.0742416381835938e-05
113.81498980522156,17,2,176,6.435589075088501,2.9087066650390625e-05
113.8149926662445,17,3,264,6.424560070037842,3.1948089599609375e-05
113.81499481201172,17,4,286,6.449959754943848,3.409385681152344e-05
113.81499719619751,17,5,286,6.655625581741333,3.647804260253906e-05
113.81499934196472,17,6,286,6.402928352355957,3.8623809814453125e-05
113.81500148773193,17,7,286,6.397085666656494,4.076957702636719e-05
113.81500935554504,17,8,286,6.486297369003296,4.863739013671875e-05
113.81501150131226,17,9,264,6.235896587371826,5.078315734863281e-05
113.81501340866089,17,10,286,6.56579065322876,5.269050598144531e-05
120.95248699188232,18,1,198,6.216794729232788,2.0503997802734375e-05
120.95249509811401,18,2,286,6.385989189147949,2.86102294921875e-05
120.95249772071838,18,3,286,6.432626485824585,3.123283386230469e-05
120.9524998664856,18,4,286,6.484081029891968,3.337860107421875e-05
120.95250177383423,18,5,286,6.33870005607605,3.528594970703125e-05
120.95250415802002,18,6,44,6.323356628417969,3.7670135498046875e-05
120.95250868797302,18,7,286,6.400026082992554,4.220008850097656e-05
120.95251083374023,18,8,88,6.604366064071655,4.4345855712890625e-05
120.95251250267029,18,9,286,6.668411016464233,4.601478576660156e-05
120.95251441001892,18,10,286,6.323955297470093,4.792213439941406e-05
128.01493167877197,19,1,286,6.335108280181885,2.2172927856445312e-05
128.01494073867798,19,2,286,6.396425724029541,3.123283386230469e-05
128.01494336128235,19,3,286,6.5932838916778564,3.3855438232421875e-05
128.01494550704956,19,4,286,6.418384313583374,3.600120544433594e-05
128.01494765281677,19,5,264,6.317126750946045,3.814697265625e-05
128.0149495601654,19,6,264,6.214721202850342,4.00543212890625e-05
128.0149531364441,19,7,286,6.412599325180054,4.363059997558594e-05
128.0149552822113,19,8,198,6.578213691711426,4.57763671875e-05
128.01495718955994,19,9,198,6.335120916366577,4.76837158203125e-05
128.01495909690857,19,10,286,6.3534417152404785,4.9591064453125e-05
135.1998691558838,20,1,198,6.249644041061401,2.0742416381835938e-05
135.1998770236969,20,2,286,6.39031457901001,2.86102294921875e-05
135.1998794078827,20,3,264,6.291409730911255,3.0994415283203125e-05
135.1998815536499,20,4,198,6.438593864440918,3.314018249511719e-05
135.19988346099854,20,5,286,6.4160096645355225,3.504753112792969e-05
135.19988536834717,20,6,286,6.316837787628174,3.695487976074219e-05
135.19988751411438,20,7,264,6.274732828140259,3.910064697265625e-05
135.19989109039307,20,8,198,6.537252426147461,4.267692565917969e-05
135.1998929977417,20,9,176,6.258383512496948,4.458427429199219e-05
135.1998951435089,20,10,286,6.67620062828064,4.673004150390625e-05
142.33162713050842,21,1,286,6.341388702392578,2.193450927734375e-05
142.33163499832153,21,2,286,6.429425477981567,2.9802322387695312e-05
142.33163714408875,21,3,286,6.466706991195679,3.1948089599609375e-05
142.33163928985596,21,4,88,6.432335615158081,3.409385681152344e-05
142.33164143562317,21,5,286,6.587992906570435,3.62396240234375e-05
142.33164501190186,21,6,198,6.494595289230347,3.981590270996094e-05
142.3316466808319,21,7,286,6.385499715805054,4.1484832763671875e-05
142.33164882659912,21,8,286,6.63248085975647,4.363059997558594e-05
142.33165073394775,21,9,264,6.442411661148071,4.553794860839844e-05
142.33165287971497,21,10,286,6.313693046569824,4.76837158203125e-05
149.45811343193054,22,1,198,6.530671119689941,2.1219253540039062e-05
149.4581208229065,22,2,176,6.3976521492004395,2.86102294921875e-05
149.45812344551086,22,3,286,6.443212509155273,3.123283386230469e-05
149.45812559127808,22,4,286,6.427067518234253,3.337860107421875e-05
149.4581277370453,22,5,286,6.512106657028198,3.552436828613281e-05
149.45812964439392,22,6,286,6.303832530975342,3.743171691894531e-05
149.4581320285797,22,7,264,6.201795816421509,3.981590270996094e-05
149.45813536643982,22,8,286,6.458535432815552,4.315376281738281e-05
149.45813727378845,22,9,286,6.529388189315796,4.506111145019531e-05
149.45813918113708,22,10,198,6.662048578262329,4.696846008300781e-05
156.57589411735535,23,1,286,6.325120449066162,2.3126602172851562e-05
156.5759027004242,23,2,286,6.407356023788452,3.170967102050781e-05
156.57590579986572,23,3,220,6.465271711349487,3.4809112548828125e-05
156.5759081840515,23,4,286,6.412902593612671,3.719329833984375e-05
156.57591032981873,23,5,286,6.307581663131714,3.933906555175781e-05
156.5759129524231,23,6,220,6.671019077301025,4.1961669921875e-05
156.57591700553894,23,7,66,6.2484941482543945,4.601478576660156e-05
156.57591891288757,23,8,286,6.50927209854126,4.792213439941406e-05
156.57592105865479,23,9,286,6.603556394577026,5.0067901611328125e-05
156.575923204422,23,10,286,6.59047532081604,5.221366882324219e-05
163.69384598731995,24,1,286,6.345587968826294,2.288818359375e-05
163.6938545703888,24,2,286,6.41316294670105,3.147125244140625e-05
163.693856716156,24,3,286,6.469357013702393,3.361701965332031e-05
163.6938591003418,24,4,264,6.476664066314697,3.600120544433594e-05
163.6938614845276,24,5,286,6.3192267417907715,3.838539123535156e-05
163.6938636302948,24,6,286,6.316195011138916,4.0531158447265625e-05
163.69386959075928,24,7,286,6.652554750442505,4.649162292480469e-05
163.6938717365265,24,8,66,6.201162576675415,4.863739013671875e-05
163.69387364387512,24,9,286,6.441653728485107,5.054473876953125e-05
163.69387578964233,24,10,286,6.308713912963867,5.269050598144531e-05
170.69498562812805,25,1,286,6.320679187774658,2.1696090698242188e-05
170.69499325752258,25,2,176,6.250040769577026,2.9325485229492188e-05
170.69499564170837,25,3,264,6.248979330062866,3.170967102050781e-05
170.69499850273132,25,4,88,6.529221534729004,3.457069396972656e-05
170.69500041007996,25,5,286,6.303361177444458,3.647804260253906e-05
170.69500279426575,25,6,286,6.310927152633667,3.886222839355469e-05
170.69500470161438,25,7,286,6.412154197692871,4.076957702636719e-05
