time,step,learning_rate,loss,accuracy
27.065186500549316,1,0.001,3.982122,0.12
34.07302975654602,2,0.001,3.3645737,0.12
41.30708861351013,3,0.001,3.28869,0.12
48.83353567123413,4,0.001,3.1575992,0.14
55.90236210823059,5,0.001,2.8922353,0.12
62.95864915847778,6,0.001,2.91419,0.12
70.1110610961914,7,0.001,2.8396664,0.11
77.06254267692566,8,0.001,2.768025,0.11
84.1144917011261,9,0.001,2.6809103,0.11
91.22814178466797,10,0.001,2.6633155,0.11
98.38674974441528,11,0.001,2.5838752,0.1
105.43499898910522,12,0.001,2.487443,0.1
112.54355597496033,13,0.001,2.584827,0.1
119.47627663612366,14,0.001,2.470134,0.12
126.64626026153564,15,0.001,2.533023,0.1
133.66384100914001,16,0.001,2.4561963,0.13
140.76074624061584,17,0.001,2.4214652,0.14
147.91542792320251,18,0.001,2.4269724,0.15
155.0061206817627,19,0.001,2.4768648,0.16
162.18984961509705,20,0.001,2.4232948,0.16
169.29437589645386,21,0.001,2.4153097,0.16
176.4117350578308,22,0.001,2.3940687,0.15
183.52545070648193,23,0.001,2.3483777,0.16
190.667418718338,24,0.001,2.3541844,0.17
197.65225672721863,25,0.001,2.3719993,0.1
204.70759987831116,26,0.001,2.315512,0.12
211.91212272644043,27,0.001,2.3452706,0.13
219.08378982543945,28,0.001,2.3042245,0.15
245.31608271598816,29,0.001,2.3193243,0.16
252.49816846847534,30,0.001,2.31478,0.15
259.6080393791199,31,0.001,2.3053296,0.17
266.7744138240814,32,0.001,2.2870264,0.16
273.87232661247253,33,0.001,2.3224797,0.2
281.02730536460876,34,0.001,2.2921844,0.21
288.1205413341522,35,0.001,2.2897017,0.2
295.15631556510925,36,0.001,2.3043787,0.18
302.2653522491455,37,0.001,2.2871726,0.16
309.40885949134827,38,0.001,2.2856765,0.2
316.4808304309845,39,0.001,2.3063207,0.18
323.6092281341553,40,0.001,2.2885387,0.17
330.78783345222473,41,0.001,2.2821064,0.2
337.7346570491791,42,0.001,2.2780747,0.17
344.8597602844238,43,0.001,2.2724648,0.17
351.86119389533997,44,0.001,2.285141,0.17
358.99081921577454,45,0.001,2.278182,0.18
366.2074177265167,46,0.001,2.2767017,0.18
373.38948369026184,47,0.001,2.2755582,0.18
380.5226082801819,48,0.001,2.2682538,0.19
387.852774143219,49,0.001,2.2450678,0.18
395.0360972881317,50,0.001,2.2689078,0.19
402.13872623443604,51,0.00093000004,2.2746475,0.17
409.21782088279724,52,0.00093000004,2.248827,0.19
416.4675335884094,53,0.00093000004,2.2929134,0.23
444.233384847641,54,0.00093000004,2.2890277,0.15
451.44140625,55,0.00093000004,2.2549746,0.18
458.6290616989136,56,0.00093000004,2.2560422,0.22
485.0600016117096,57,0.00093000004,2.2583473,0.16
492.18569779396057,58,0.00093000004,2.2547834,0.16
499.2954943180084,59,0.00093000004,2.28747,0.19
506.4906051158905,60,0.00093000004,2.2672794,0.15
513.6431255340576,61,0.00093000004,2.2282214,0.17
520.7489709854126,62,0.00093000004,2.2997603,0.24
527.8642058372498,63,0.00093000004,2.2790384,0.18
534.9498736858368,64,0.00093000004,2.2319322,0.2
542.034430027008,65,0.00093000004,2.2496343,0.14
549.0798335075378,66,0.00093000004,2.257203,0.19
556.2512261867523,67,0.00093000004,2.2700596,0.1
563.4329631328583,68,0.00093000004,2.3233519,0.14
570.5977692604065,69,0.00093000004,2.2794785,0.2
577.4946358203888,70,0.00093000004,2.2458885,0.21
584.6200120449066,71,0.00093000004,2.2427087,0.23
591.7289485931396,72,0.00093000004,2.249028,0.17
598.8480799198151,73,0.00093000004,2.3537056,0.2
605.9735217094421,74,0.00093000004,2.2727842,0.18
613.0837216377258,75,0.00093000004,2.262953,0.17
620.1918849945068,76,0.00093000004,2.2519367,0.16
627.1530175209045,77,0.00093000004,2.2525904,0.22
634.216230392456,78,0.00093000004,2.2491796,0.14
641.3031458854675,79,0.00093000004,2.260034,0.15
648.1957068443298,80,0.00093000004,2.3046405,0.13
655.3110086917877,81,0.00093000004,2.301917,0.11
662.3314068317413,82,0.00093000004,2.2660575,0.14
669.4627220630646,83,0.00093000004,2.2789564,0.18
676.6603806018829,84,0.00093000004,2.255278,0.21
702.8276906013489,85,0.00093000004,2.2718618,0.19
709.9862160682678,86,0.00093000004,2.2784104,0.17
717.0969982147217,87,0.00093000004,2.2716088,0.2
724.1263918876648,88,0.00093000004,2.236941,0.18
731.2885792255402,89,0.00093000004,2.2923563,0.14
738.4488761425018,90,0.00093000004,2.3333514,0.14
745.7077400684357,91,0.00093000004,2.3111246,0.16
752.7484860420227,92,0.00093000004,2.293601,0.14
759.9081275463104,93,0.00093000004,2.254775,0.18
767.1349651813507,94,0.00093000004,2.240039,0.1
774.2552714347839,95,0.00093000004,2.237399,0.17
781.3040080070496,96,0.00093000004,2.285113,0.09
788.498831987381,97,0.00093000004,2.481199,0.11
795.6868703365326,98,0.00093000004,2.315192,0.15
802.88512134552,99,0.00093000004,2.2799485,0.2
809.9888114929199,100,0.00093000004,2.2720878,0.12
817.0005691051483,101,0.0008649,2.2707908,0.22
824.1526050567627,102,0.0008649,2.26557,0.14
831.2267751693726,103,0.0008649,2.3107076,0.14
838.3503427505493,104,0.0008649,2.2995667,0.14
845.6203463077545,105,0.0008649,2.2789114,0.11
852.6509256362915,106,0.0008649,2.2652097,0.13
859.7989499568939,107,0.0008649,2.2647848,0.12
882.0556833744049,108,0.0008649,2.2972627,0.12
888.9816536903381,109,0.0008649,2.2844384,0.18
895.9742794036865,110,0.0008649,2.277277,0.17
