time,step,loss,learning_rate,accuracy
4.072073698043823,1,2.990455,0.001,0.0390625
4.30017614364624,2,2.9644046,0.001,0.0625
4.519931316375732,3,3.1694338,0.001,0.1484375
4.750770330429077,4,3.0706325,0.001,0.0625
4.96631646156311,5,2.9303248,0.001,0.078125
5.186332941055298,6,3.0064735,0.001,0.1484375
5.404689788818359,7,2.8913178,0.001,0.09375
5.626556396484375,8,3.058002,0.001,0.0625
5.850196838378906,9,2.8386025,0.001,0.109375
6.067988634109497,10,2.8996038,0.001,0.0546875
6.2854905128479,11,2.9597683,0.001,0.1328125
6.50084376335144,12,2.9463153,0.001,0.125
6.7148661613464355,13,2.8860013,0.001,0.109375
6.9288506507873535,14,2.8737016,0.001,0.1171875
7.143683195114136,15,2.7637784,0.001,0.1015625
7.360960483551025,16,2.7781177,0.001,0.1015625
7.574843406677246,17,2.8586934,0.001,0.0546875
7.783315181732178,18,2.809387,0.001,0.15625
8.001459121704102,19,2.752706,0.001,0.1328125
8.214465856552124,20,2.7742758,0.001,0.0703125
8.433100700378418,21,2.5507958,0.001,0.09375
8.640565633773804,22,2.7389245,0.001,0.1015625
8.852724552154541,23,2.576097,0.001,0.125
9.064291000366211,24,2.5959353,0.001,0.1171875
9.279954433441162,25,2.68788,0.001,0.140625
9.495297193527222,26,2.6509585,0.001,0.109375
9.713235139846802,27,2.8014646,0.001,0.1328125
9.920342206954956,28,2.6281266,0.001,0.1171875
10.139154195785522,29,2.6900816,0.001,0.09375
10.357101440429688,30,2.5815973,0.001,0.0625
10.569387435913086,31,2.7499251,0.001,0.15625
10.782886266708374,32,2.6268172,0.001,0.0703125
10.992063522338867,33,2.7740989,0.001,0.125
11.217687368392944,34,2.7007744,0.001,0.0625
11.431454181671143,35,2.5473802,0.001,0.109375
11.649047136306763,36,2.6567798,0.001,0.0859375
11.86574125289917,37,2.5635839,0.001,0.1015625
12.070116996765137,38,2.6271331,0.001,0.1171875
12.278254985809326,39,2.5686955,0.001,0.09375
12.487324237823486,40,2.4849677,0.001,0.1015625
12.705621719360352,41,2.4084332,0.001,0.0859375
12.916110038757324,42,2.7056282,0.001,0.0859375
13.123970746994019,43,2.5816011,0.001,0.125
13.340036153793335,44,2.5211096,0.001,0.0703125
13.553523540496826,45,2.6998153,0.001,0.140625
13.76598858833313,46,2.5628476,0.001,0.125
13.98102355003357,47,2.4569383,0.001,0.1171875
14.186410427093506,48,2.5238538,0.001,0.171875
14.39656376838684,49,2.23422,0.001,0.125
14.608862400054932,50,2.5107403,0.001,0.1328125
14.826723098754883,51,2.3880854,0.001,0.078125
15.04151701927185,52,2.5766315,0.001,0.0859375
15.250997304916382,53,2.411992,0.001,0.1171875
