time,step,num_samples,last_send,last_bcast,last_exit,sleep_time,compute_time,compute_time_master
9.059906005859375e-06,1,256.0,-1.0,-1.0,-1.0,0.0,3.0017330646514893,8.106231689453125e-06
0.22008132934570312,2,256.0,0.008810997009277344,0.04334235191345215,0.002255678176879883,0.0,0.07999587059020996,1.049041748046875e-05
0.4702794551849365,3,256.0,0.0932779312133789,0.1505122184753418,0.0028467178344726562,0.0,0.08107519149780273,1.7881393432617188e-05
0.6907265186309814,4,256.0,0.015009641647338867,0.12108516693115234,0.00325775146484375,0.0,0.08034157752990723,1.2636184692382812e-05
0.91469407081604,5,256.0,0.015739917755126953,0.1252908706665039,0.0007500648498535156,0.0,0.08415770530700684,4.38690185546875e-05
1.1428606510162354,6,256.0,0.013823270797729492,0.1289820671081543,0.002686738967895508,0.0,0.08075833320617676,1.1444091796875e-05
1.3498001098632812,7,256.0,0.015542745590209961,0.11115288734436035,0.0019507408142089844,0.0,0.07955551147460938,1.239776611328125e-05
1.5779154300689697,8,256.0,0.013874053955078125,0.12771058082580566,0.0021135807037353516,0.0,0.08243179321289062,1.2874603271484375e-05
1.8014328479766846,9,256.0,0.016577720642089844,0.12337350845336914,0.002015829086303711,0.0,0.08308649063110352,1.1920928955078125e-05
2.0179970264434814,10,256.0,0.015044450759887695,0.11835718154907227,0.003500223159790039,0.0,0.07943534851074219,1.6689300537109375e-05
2.2351784706115723,11,256.0,0.01308751106262207,0.12397122383117676,0.0031058788299560547,0.0,0.07886958122253418,3.9577484130859375e-05
2.4614875316619873,12,256.0,0.012786865234375,0.12894630432128906,0.0022199153900146484,0.0,0.07906270027160645,1.3589859008789062e-05
2.6641833782196045,13,256.0,0.016627073287963867,0.10778999328613281,0.0014739036560058594,0.0,0.0816187858581543,1.2874603271484375e-05
2.887277841567993,14,256.0,0.01134037971496582,0.12406229972839355,0.002649545669555664,0.0,0.08297848701477051,1.8596649169921875e-05
3.1039488315582275,15,256.0,0.01406407356262207,0.11687111854553223,0.0020453929901123047,0.0,0.08126640319824219,1.7404556274414062e-05
3.3168580532073975,16,256.0,0.016597986221313477,0.11368441581726074,0.0022192001342773438,0.0,0.0805196762084961,1.0967254638671875e-05
3.532045364379883,17,256.0,0.015806198120117188,0.11740636825561523,0.0026361942291259766,0.0,0.08048081398010254,1.1205673217773438e-05
3.749648332595825,18,256.0,0.014652729034423828,0.12070441246032715,0.002404451370239258,0.0,0.07991719245910645,1.0967254638671875e-05
3.9707260131835938,19,256.0,0.01525568962097168,0.11226773262023926,0.0019762516021728516,0.0,0.08057498931884766,0.009683847427368164
