time,step,rank,num_batches,compute_time_worker,compute_time_master
5.284211874008179,1,9,13,5.598705530166626,5.284209251403809
5.3929359912872314,1,1,13,5.645925998687744,5.392933368682861
5.480450391769409,1,2,12,5.72511100769043,5.480447769165039
5.568098306655884,1,3,13,5.7404162883758545,5.568095684051514
5.6448752880096436,1,4,14,5.68873405456543,5.644872665405273
5.765542030334473,1,5,11,5.674933910369873,5.7655394077301025
5.842001914978027,1,6,1,6.063670873641968,5.841999292373657
5.926492929458618,1,7,11,5.753729343414307,5.926490306854248
5.997342109680176,1,8,14,5.775138854980469,5.997339487075806
6.077258825302124,1,10,14,5.675249099731445,6.077256202697754
11.942049741744995,2,6,15,5.507907390594482,4.990004062652588
12.048498153686523,2,1,10,5.56935453414917,5.096452474594116
12.13563323020935,2,2,11,5.5794243812561035,5.183587551116943
12.217202186584473,2,3,2,5.659135103225708,5.265156507492065
12.302655696868896,2,4,16,5.725837469100952,5.350610017776489
12.42490816116333,2,5,14,5.701780557632446,5.472862482070923
12.508671045303345,2,7,13,5.685777187347412,5.5566253662109375
12.581705331802368,2,8,16,5.620791673660278,5.629659652709961
12.67771053314209,2,9,15,5.614439010620117,5.725664854049683
12.758806943893433,2,10,16,5.619901418685913,5.806761264801025
18.677295923233032,3,7,9,5.557417392730713,5.147592306137085
18.78336453437805,3,1,3,5.6273112297058105,5.2536609172821045
18.871875762939453,3,2,16,5.646141290664673,5.342172145843506
18.9644558429718,3,3,16,5.664652109146118,5.4347522258758545
19.046615600585938,3,4,9,5.619031190872192,5.51691198348999
19.1750226020813,3,5,14,5.5684826374053955,5.645318984985352
19.252099990844727,3,6,16,5.64074969291687,5.722396373748779
19.324331998825073,3,8,16,5.606312036514282,5.794628381729126
19.425521850585938,3,9,15,5.5877439975738525,5.89581823348999
19.512500286102295,3,10,10,5.810303688049316,5.982796669006348
25.43777060508728,4,9,15,5.518826007843018,5.115068674087524
25.537221908569336,4,1,16,5.577679634094238,5.21451997756958
25.627237558364868,4,2,12,5.668713569641113,5.304535627365112
25.71024250984192,4,3,16,5.655581951141357,5.387540578842163
25.79261016845703,4,4,15,5.71513295173645,5.469908237457275
25.914108276367188,4,5,9,5.819063186645508,5.591406345367432
25.994689464569092,4,6,16,5.668736696243286,5.671987533569336
26.078521013259888,4,7,16,5.614734888076782,5.755819082260132
26.149102210998535,4,8,10,5.5332932472229,5.826400279998779
26.231475114822388,4,10,2,5.6596128940582275,5.908773183822632
32.08970832824707,5,2,3,5.508516788482666,5.068859100341797
32.16532802581787,5,6,14,5.558288812637329,5.144478797912598
32.247941732406616,5,7,16,5.60812783241272,5.227092504501343
32.3469717502594,5,9,15,5.576764106750488,5.326122522354126
32.43656873703003,5,10,15,5.5918824672698975,5.415719509124756
32.53925275802612,5,1,11,5.610337257385254,5.51840353012085
32.62222218513489,5,3,16,5.716227769851685,5.601372957229614
32.70680332183838,5,4,16,5.679792881011963,5.6859540939331055
32.82762789726257,5,5,13,5.777877569198608,5.8067786693573
32.90011525154114,5,8,10,5.851454734802246,5.879266023635864
38.79216194152832,6,4,10,5.543358087539673,5.119378328323364
38.89670991897583,6,1,16,5.571362733840942,5.223926305770874
