time,step,rank,num_samples,compute_time,compute_time_master
3.147125244140625e-05,1,1,242,5.453924179077148,2.8848648071289062e-05
3.8623809814453125e-05,1,2,242,5.34512996673584,3.600120544433594e-05
4.100799560546875e-05,1,3,242,5.5004754066467285,3.838539123535156e-05
4.291534423828125e-05,1,4,242,7.707300662994385,4.029273986816406e-05
4.744529724121094e-05,1,5,242,5.742611408233643,4.482269287109375e-05
5.030632019042969e-05,1,6,242,5.659410715103149,4.76837158203125e-05
5.269050598144531e-05,1,7,242,5.485426664352417,5.0067901611328125e-05
5.435943603515625e-05,1,8,242,5.404554605484009,5.173683166503906e-05
5.626678466796875e-05,1,9,242,5.555594205856323,5.364418029785156e-05
5.8650970458984375e-05,1,10,242,5.705013036727905,5.602836608886719e-05
11.094396352767944,2,1,242,10.504491567611694,1.4781951904296875e-05
11.09440279006958,2,2,242,10.260597229003906,2.1219253540039062e-05
11.094405174255371,2,3,242,5.381617307662964,2.3603439331054688e-05
11.094407320022583,2,4,242,7.57741117477417,2.574920654296875e-05
11.094409227371216,2,5,242,5.299533367156982,2.765655517578125e-05
11.094411373138428,2,6,242,5.303337812423706,2.9802322387695312e-05
11.09441328048706,2,7,242,5.666069030761719,3.170967102050781e-05
11.094417333602905,2,8,242,6.347403049468994,3.5762786865234375e-05
11.094419002532959,2,9,242,7.284626722335815,3.743171691894531e-05
11.094420909881592,2,10,242,5.3663880825042725,3.933906555175781e-05
22.040796279907227,3,1,242,5.576832056045532,1.5497207641601562e-05
22.040802240371704,3,2,242,5.291370868682861,2.1457672119140625e-05
22.040804862976074,3,3,242,10.402095794677734,2.4080276489257812e-05
22.040807008743286,3,4,242,5.291743516921997,2.6226043701171875e-05
22.040809154510498,3,5,242,5.321588039398193,2.8371810913085938e-05
22.04081130027771,3,6,242,7.240827560424805,3.0517578125e-05
22.040815830230713,3,7,242,5.773629903793335,3.504753112792969e-05
22.040817499160767,3,8,242,7.055130958557129,3.6716461181640625e-05
22.040819883346558,3,9,242,7.036249876022339,3.910064697265625e-05
22.04082179069519,3,10,242,5.374773025512695,4.100799560546875e-05
30.321574211120605,4,1,242,5.317296504974365,1.621246337890625e-05
30.32158064842224,4,2,242,5.8766560554504395,2.2649765014648438e-05
30.321583032608032,4,3,242,7.725651025772095,2.5033950805664062e-05
30.321585178375244,4,4,242,5.57796049118042,2.7179718017578125e-05
30.321587324142456,4,5,242,7.477923154830933,2.9325485229492188e-05
30.32158923149109,4,6,242,5.8438169956207275,3.123283386230469e-05
30.321593046188354,4,7,242,6.0989391803741455,3.504753112792969e-05
30.321594953536987,4,8,242,5.460712432861328,3.695487976074219e-05
30.32159686088562,4,9,242,5.893537282943726,3.886222839355469e-05
30.321598529815674,4,10,242,5.558914661407471,4.0531158447265625e-05
41.79924917221069,5,1,242,5.285430908203125,1.5020370483398438e-05
41.79925537109375,5,2,242,5.281358242034912,2.1219253540039062e-05
41.79925775527954,5,3,242,5.403679132461548,2.3603439331054688e-05
41.79925990104675,5,4,242,5.25736141204834,2.574920654296875e-05
41.799261808395386,5,5,242,6.591420888900757,2.765655517578125e-05
41.79926371574402,5,6,242,5.497815847396851,2.956390380859375e-05
41.79926562309265,5,7,242,5.6855878829956055,3.147125244140625e-05
41.799269914627075,5,8,242,7.5310986042022705,3.5762786865234375e-05
41.79927158355713,5,9,242,10.91734266281128,3.743171691894531e-05
41.79927349090576,5,10,242,7.419860601425171,3.933906555175781e-05
49.6855046749115,6,1,242,5.3092265129089355,1.4066696166992188e-05
49.685511350631714,6,2,242,5.299775123596191,2.0742416381835938e-05
49.685513496398926,6,3,242,5.315362453460693,2.288818359375e-05
49.68551564216614,6,4,242,5.469631195068359,2.5033950805664062e-05
49.68551754951477,6,5,242,5.764176607131958,2.6941299438476562e-05
49.68551993370056,6,6,242,7.3869569301605225,2.9325485229492188e-05
49.68552207946777,6,7,242,5.56920051574707,3.147125244140625e-05
49.68552374839783,6,8,242,7.081186056137085,3.314018249511719e-05
49.68552589416504,6,9,242,5.800067663192749,3.528594970703125e-05
49.68552803993225,6,10,242,5.366363763809204,3.743171691894531e-05
60.335163831710815,7,1,242,5.548925399780273,1.3828277587890625e-05
60.33516979217529,7,2,242,5.287245035171509,1.9788742065429688e-05
60.33517241477966,7,3,242,10.088680982589722,2.2411346435546875e-05
60.335174560546875,7,4,242,7.601917028427124,2.4557113647460938e-05
60.33517646789551,7,5,242,10.099512338638306,2.6464462280273438e-05
60.33517837524414,7,6,242,5.284033298492432,2.8371810913085938e-05
60.33518028259277,7,7,242,5.461042404174805,3.0279159545898438e-05
60.3351845741272,7,8,242,7.066904306411743,3.457069396972656e-05
60.33518648147583,7,9,242,5.2786500453948975,3.647804260253906e-05
60.33518886566162,7,10,242,7.463290214538574,3.886222839355469e-05
71.57820558547974,8,1,242,5.581512451171875,1.5020370483398438e-05
71.57821249961853,8,2,242,7.212390899658203,2.193450927734375e-05
71.57821488380432,8,3,242,5.375409841537476,2.4318695068359375e-05
71.57821702957153,8,4,242,5.2742791175842285,2.6464462280273438e-05
71.57821917533875,8,5,242,10.190094232559204,2.86102294921875e-05
71.57822132110596,8,6,242,7.722121477127075,3.075599670410156e-05
71.57822513580322,8,7,242,10.678406476974487,3.457069396972656e-05
71.57822704315186,8,8,242,6.015486240386963,3.647804260253906e-05
71.57822871208191,8,9,242,5.291198492050171,3.814697265625e-05
71.57823085784912,8,10,242,5.8152124881744385,4.029273986816406e-05
79.46453046798706,9,1,242,5.30333948135376,1.3828277587890625e-05
